"version","datetime","important","query__token","query__format","query__language","number_of_results","number_of_pages","page","result__vocabulary_id","result__term","result__hateful_meaning","result__nonhateful_meaning","result__is_unambiguous","result__is_unambiguous_in","result__average_offensiveness","result__language","result__plural_of","result__variant_of","result__transliteration_of","result__is_about_nationality","result__is_about_ethnicity","result__is_about_religion","result__is_about_gender","result__is_about_sexual_orientation","result__is_about_disability","result__is_about_class","result__number_of_sightings","result__number_of_sightings_this_year","result__number_of_sightings_this_month","result__created_on","result__updated_on","warnings__2201"
"4.4","2021-03-14 13:20:54","Your use of the Hatebase API acknowledges your consent with Hatebase's Terms of Use (available online at hatebase.org) and PROHIBITS REDISTRIBUTION of this data for any purpose, including but not limited to republication in any form, such as in PUBLIC CODE REPOSITORIES.","TZDNTYCQEKHPAZFrLpAGWAMLDVJACRXZ","json","nld","126","2","1","rBvNxY8Jr","mof","[1] Dutch: A German. Considered a derogatory term reflecting Dutch resentment of the German occupation of the Netherlands during the Second World War. [2] Afrikaans: A homosexual.","","False","NL","null","nld","null","null","null","True","False","False","False","True","False","False","10","0","0","2013-07-02 22:57:29","2019-10-21 12:52:22","An input parameter is invalid, and was therefore ignored"
"","","","","","","","","","wgwitolnh","mongooltje","Mongoloid","","False","","null","nld","null","mongool","null","False","False","False","False","False","True","False","266","40","5","2019-07-02 20:17:51","2019-07-02 20:17:59",""
"","","","","","","","","","P2TMUfUbL","mongolen","Mongoloid","","False","","null","nld","mongool","null","null","False","False","False","False","False","True","False","512","76","12","2019-07-02 20:17:16","2019-07-02 20:17:27",""
"","","","","","","","","","YLWXrnRZL","mokkeltje","[1] Slut [2] A fat woman","An attractive woman","False","","null","nld","null","mokkel","null","False","False","False","True","False","False","False","75","6","0","2019-07-02 20:16:15","2019-07-02 20:16:26",""
"","","","","","","","","","nTUACALuN","mokkels","[1] Slut [2] A fat woman","An attractive woman","False","","null","nld","mokkel","null","null","False","False","False","True","False","False","False","228","15","5","2019-07-02 20:15:34","2019-07-02 20:15:45",""
"","","","","","","","","","MbKEpE3Ja","mokkel","[1] Slut [2] A fat woman","An attractive woman","False","","null","nld","null","null","null","False","False","False","True","False","False","False","492","61","10","2019-07-02 20:14:55","2019-07-02 20:15:05",""
"","","","","","","","","","qnkrTRFcW","makaakje","A person of African descent","A monkey","False","","null","nld","null","makaak","null","False","True","False","False","False","False","False","0","0","0","2019-07-02 20:13:01","2019-07-02 20:13:40",""
"","","","","","","","","","8UqTeGfi1","makaken","A person of African descent","A monkey","False","","null","nld","null","makaak","null","False","True","False","False","False","False","False","51","6","1","2019-07-02 20:12:22","2019-07-02 20:12:30",""
"","","","","","","","","","huXdDoZTi","makaak","A person of African descent","A monkey","False","","null","nld","null","null","null","False","True","False","False","False","False","False","27","2","0","2019-07-02 20:11:41","2019-07-02 20:11:52",""
"","","","","","","","","","9fbwXeeoa","hoofddoekjesbelastinkje","Tax on headscarves","","False","","null","nld","null","kopvoddentaks","null","False","False","True","False","False","False","False","0","0","0","2019-07-02 20:10:40","2019-07-02 20:10:49",""
"","","","","","","","","","V9V9eUZV4","hoofddoekjesbelastingen","Tax on headscarves","","False","","null","nld","hoofddoekjesbelasting","null","null","False","False","True","False","False","False","False","0","0","0","2019-07-02 20:09:53","2019-07-02 20:10:05",""
"","","","","","","","","","ty9venPat","hoofddoekjesbelasting","Tax on headscarves","","False","","null","nld","null","kopvoddentaks","null","False","False","True","False","False","False","False","26","0","0","2019-07-02 20:09:07","2019-07-02 20:09:19",""
"","","","","","","","","","WHLDUJyMT","kopvoddentaksje","A Muslim; one who wears a headscarf","","False","","null","nld","null","kopvodden","null","False","False","True","False","False","False","False","0","0","0","2019-07-02 20:08:08","2019-07-02 20:08:28",""
"","","","","","","","","","tZogpdVwx","kopvoddentaksen","Tax on headscarves","","False","","null","nld","kopvoddentaks","null","null","False","False","True","False","False","False","False","0","0","0","2019-07-02 20:07:21","2019-07-02 20:07:33",""
"","","","","","","","","","WUBKmJ1Zh","kopvoddentaks","Tax on headscarves","","False","","null","nld","null","null","null","False","False","True","False","False","False","False","28","4","2","2019-07-02 20:06:42","2019-07-02 20:06:53",""
"","","","","","","","","","UvntGNvfR","kopvodje","A Muslim; one who wears a headscarf","","False","","null","nld","null","kopvod","null","False","False","True","False","False","False","False","22","1","0","2019-07-02 20:05:39","2019-07-02 20:05:58",""
"","","","","","","","","","NmbhsEnik","kopvodden","A Muslim; one who wears a headscarf","","False","","null","nld","kopvod","null","null","False","False","True","False","False","False","False","337","21","1","2019-07-02 20:05:00","2019-07-02 20:05:11",""
"","","","","","","","","","zeyxpa1um","kopvod","A Muslim; one who wears a headscarf","","False","","null","nld","null","null","null","False","False","True","False","False","False","False","390","27","5","2019-07-02 20:04:22","2019-07-02 20:04:33",""
"","","","","","","","","","wdfpxbswe","koelietje","""Coolie""; derogatory for people of Indonesian and Hindi(-Surinamese) origins.","","False","","null","nld","null","koelie","null","True","False","False","False","False","False","False","0","0","0","2019-07-02 20:02:37","2019-07-02 20:02:51",""
"","","","","","","","","","uWxvNhQdE","koelies","""Coolie""; derogatory for people of Indonesian and Hindi(-Surinamese) origins.","","False","","null","nld","koelie","null","null","True","False","False","False","False","False","False","62","5","1","2019-07-02 20:01:50","2019-07-02 20:02:04",""
"","","","","","","","","","ibzdpuebn","kaatje","A domineering woman","","False","","null","nld","null","kenau","null","False","False","False","True","False","False","False","9","2","0","2019-07-02 19:58:19","2019-07-02 19:58:27",""
"","","","","","","","","","TNrbmocpA","kas","A domineering woman","","False","","null","nld","ka","null","null","False","False","False","True","False","False","False","0","0","0","2019-07-02 19:57:23","2019-07-02 19:57:23",""
"","","","","","","","","","aCXTHVgjf","ka","A domineering woman","","False","","null","nld","null","kenau","null","False","False","False","True","False","False","False","0","0","0","2019-07-02 19:56:51","2019-07-02 19:56:51",""
"","","","","","","","","","wivJTZhnz","kenautje","A domineering woman","","False","","null","nld","null","kenau","null","False","False","False","True","False","False","False","0","0","0","2019-07-02 19:55:33","2019-07-02 19:55:41",""
"","","","","","","","","","tmxoYPxN6","kenaus","A domineering woman","","False","","null","nld","kenau","null","null","False","False","False","True","False","False","False","11","0","0","2019-07-02 19:54:51","2019-07-02 19:54:59",""
"","","","","","","","","","QYyFZscxB","kenau","A domineering woman","","False","","null","nld","null","null","null","False","False","False","True","False","False","False","79","20","2","2019-07-02 19:50:51","2019-07-02 19:51:07",""
"","","","","","","","","","1ogjzxEbU","lichtekooitje","Whore","","False","","null","nld","null","lichtekooi","null","False","False","False","True","False","False","False","0","0","0","2019-07-02 19:49:25","2019-07-02 19:49:38",""
"","","","","","","","","","tfzwtccyn","lichtekooien","Whore","","False","","null","nld","lichtekooi","null","null","False","False","False","True","False","False","False","7","1","0","2019-07-02 19:48:44","2019-07-02 19:48:56",""
"","","","","","","","","","rtsK71plk","lichtekooi","Whore","","False","","null","nld","null","null","null","False","False","False","True","False","False","False","39","6","5","2019-07-02 19:48:04","2019-07-02 19:48:19",""
"","","","","","","","","","BpUGLAVeP","sletterigst","Slut","","False","","null","nld","null","slet","null","False","False","False","True","False","False","False","0","0","0","2019-07-02 19:47:10","2019-07-02 19:47:35",""
"","","","","","","","","","tDwXGcZtQ","sletteriger","Slut","","False","","null","nld","null","slet","null","False","False","False","True","False","False","False","1","0","0","2019-07-02 19:46:35","2019-07-02 19:46:46",""
"","","","","","","","","","rAYbqBmzz","sletterig","Slut","","False","","null","nld","null","slet","null","False","False","False","True","False","False","False","51","9","0","2019-07-02 19:45:56","2019-07-02 19:46:11",""
"","","","","","","","","","uWnXHJZzb","sletten","Slut","","False","","null","nld","slet","null","null","False","False","False","True","False","False","False","154","11","4","2019-07-02 19:44:57","2019-07-02 19:45:07",""
"","","","","","","","","","4yNCr9xco","hoer","Whore","","False","","75","nld","null","null","null","False","False","False","True","False","False","False","44","1","0","2018-11-13 21:06:59","2019-07-02 19:44:07",""
"","","","","","","","","","Vjsxzjok1","hoertje","Whore","","False","","null","nld","null","hoer","null","False","False","False","True","False","False","False","289","36","7","2019-07-02 19:43:46","2019-07-02 19:43:54",""
"","","","","","","","","","VUiEGGUaw","hoeren","Whore","","False","","null","nld","hoer","null","null","False","False","False","True","False","False","False","12","0","0","2019-07-02 19:43:03","2019-07-02 19:43:18",""
"","","","","","","","","","bHvXfFCke","kechje","Whore or prostitute","","False","","null","nld","null","kech","null","False","False","False","True","False","False","False","10","2","0","2019-07-02 19:41:58","2019-07-02 19:42:20",""
"","","","","","","","","","XqLaErqwn","kechs","Whore or prostitute","","False","","null","nld","kech","null","null","False","False","False","True","False","False","False","659","69","3","2019-07-02 19:41:23","2019-07-02 19:41:32",""
"","","","","","","","","","H6GoBdszC","kech","Whore or prostitute","","False","","null","nld","null","null","null","False","False","False","True","False","False","False","44","3","0","2019-07-02 19:40:40","2019-07-02 19:40:54",""
"","","","","","","","","","iChDHhbuN","janetje","An effeminate man or homosexual","","False","","null","nld","null","janet","null","False","False","False","False","True","False","False","2","0","0","2019-07-02 19:32:41","2019-07-02 19:32:53",""
"","","","","","","","","","AjqWC4ABM","janetten","An effeminate man or homosexual","","False","","null","nld","janet","null","null","False","False","False","False","True","False","False","89","8","1","2019-07-02 19:32:02","2019-07-02 19:32:14",""
"","","","","","","","","","DobnPoeeP","janet","An effeminate man or homosexual","","False","","null","nld","null","null","null","False","False","False","False","True","False","False","0","0","0","2019-07-02 19:31:32","2019-07-02 19:31:32",""
"","","","","","","","","","NuRZRNHsN","Hottentotten","A person of African descent","","False","","null","nld","null","null","null","False","True","False","False","False","False","False","17","2","0","2019-07-02 19:28:08","2019-07-02 19:28:18",""
"","","","","","","","","","zNchhFrtd","haatbaardje","A radicalized Muslim","","False","","null","nld","null","haatbaard","null","False","False","True","False","False","False","False","10","2","0","2019-07-02 19:26:29","2019-07-02 19:26:37",""
"","","","","","","","","","ZNwzTuXta","haatbaarden","A radicalized Muslim","","False","","null","nld","haatbaard","null","null","False","False","True","False","False","False","False","487","25","6","2019-07-02 19:25:47","2019-07-02 19:25:58",""
"","","","","","","","","","RFQjtLbtt","haatbaard","A radicalized Muslim","","False","","null","nld","null","null","null","False","False","True","False","False","False","False","337","12","2","2019-07-02 19:25:06","2019-07-02 19:25:18",""
"","","","","","","","","","gEmHjWMjo","gratenkutje","Slut","","False","","null","nld","null","gratenkut","null","False","False","False","True","False","False","False","0","0","0","2019-07-02 19:22:34","2019-07-02 19:22:50",""
"","","","","","","","","","s4tGWLRfQ","gratenkutten","Slut","","False","","null","nld","gratenkut","null","null","False","False","False","True","False","False","False","2","1","0","2019-07-02 19:21:53","2019-07-02 19:22:05",""
"","","","","","","","","","hVohLunJz","gratenkut","Slut","","False","","null","nld","null","null","null","False","False","False","True","False","False","False","15","2","1","2019-07-02 19:21:14","2019-07-02 19:21:25",""
"","","","","","","","","","wepaosxWz","geitenneukertje","Muslim, literally 'goat-fucker'.","","False","","null","nld","null","geitenneuker","null","False","True","True","False","False","False","False","3","0","0","2019-07-02 19:20:27","2019-07-02 19:20:37",""
"","","","","","","","","","hwaaevdsn","geitenneukers","Muslim, literally 'goat-fucker'.","","False","","null","nld","geitenneuker","null","null","False","True","True","False","False","False","False","195","19","3","2019-07-02 19:19:18","2019-07-02 19:19:48",""
"","","","","","","","","","u4BLGj8by","blauwen","One who is part Indonesian and part European","","False","","null","nld","blauwe","null","null","True","False","False","False","False","False","False","291","52","2","2019-07-02 19:15:45","2019-07-02 19:16:01",""
"","","","","","","","","","pZVCNGaVU","blauwe","One who is part Indonesian and part European","","False","","null","nld","null","null","null","True","False","False","False","False","False","False","268","30","3","2019-07-02 19:14:47","2019-07-02 19:15:10",""
"","","","","","","","","","yPNHLJYUx","banga","Slut","In Hausa, homonym refers to a drum","False","","null","nld","null","null","null","False","False","False","True","False","False","False","27","4","0","2019-07-02 19:13:19","2019-07-02 19:13:36",""
"","","","","","","","","","ghaNBceRd","banaantje","A person of African descent","Banana","False","","null","nld","null","banaan","null","False","True","False","False","False","False","False","0","0","0","2019-07-02 19:11:50","2019-07-02 19:11:50",""
"","","","","","","","","","czmCpCHZj","bananen","A person of African descent","Banana","False","","null","nld","banaan","null","null","False","True","False","False","False","False","False","0","0","0","2019-07-02 19:11:14","2019-07-02 19:11:14",""
"","","","","","","","","","wxqbQFdcc","banaan","A person of African descent","Banana","False","","null","nld","null","null","null","False","True","False","False","False","False","False","0","0","0","2019-07-02 19:10:32","2019-07-02 19:10:32",""
"","","","","","","","","","qUwvHPizh","anaalridders","","","False","","null","nld","anaalridder","null","null","False","False","False","False","True","False","False","3","0","0","2019-07-02 19:08:51","2019-07-02 19:09:54",""
"","","","","","","","","","zGWVzZEvh","anusriddertje","""Anus knight""; a man who has anal sex with another man","","False","","null","nld","null","anusridder","null","False","False","False","False","True","False","False","0","0","0","2019-07-02 19:07:56","2019-07-02 19:08:13",""
"","","","","","","","","","JnapncjTp","anusridders","""Anus knight""; a man who has anal sex with another man","","False","","null","nld","anusridder","null","null","False","False","False","False","True","False","False","0","0","0","2019-07-02 19:07:10","2019-07-02 19:07:22",""
"","","","","","","","","","cYncRFarp","achterlijk","When used for cultures, religions, and groups: backward. For individuals also: retarded, mentally deficient.","","False","NL","100","nld","null","null","null","False","True","True","False","False","True","False","1049","112","15","2018-11-13 20:59:47","2019-07-02 19:02:30",""
"","","","","","","","","","8YlmnxeEH","achterlijken","When used for cultures, religions, and groups: backward. For individuals also: retarded, mentally deficient.","","False","","null","nld","null","achterlijk","null","False","False","False","False","False","True","False","0","0","0","2019-07-02 19:02:08","2019-07-02 19:02:08",""
"","","","","","","","","","WmGukVtxZ","achterlijke","A mentally disabled person","An idiot","False","","null","nld","null","null","null","False","False","False","False","False","True","False","0","0","0","2019-07-02 19:01:14","2019-07-02 19:01:14",""
"","","","","","","","","","7Be9994n6","pot","Lesbian","Pot, same as in English.","False","","82","nld","null","null","null","False","False","False","False","True","False","False","1","0","0","2014-04-22 14:25:02","2019-05-31 13:50:54",""
"","","","","","","","","","whegEdBVR","poot","A homosexual male","paw, leg (animal, furniture)","False","","null","nld","null","null","null","False","False","False","False","True","False","False","0","0","0","2018-11-13 21:14:53","2019-05-31 13:49:09",""
