"version","datetime","important","query__token","query__format","query__language","number_of_results","number_of_pages","page","result__vocabulary_id","result__term","result__hateful_meaning","result__nonhateful_meaning","result__is_unambiguous","result__is_unambiguous_in","result__average_offensiveness","result__language","result__plural_of","result__variant_of","result__transliteration_of","result__is_about_nationality","result__is_about_ethnicity","result__is_about_religion","result__is_about_gender","result__is_about_sexual_orientation","result__is_about_disability","result__is_about_class","result__number_of_sightings","result__number_of_sightings_this_year","result__number_of_sightings_this_month","result__created_on","result__updated_on","warnings__2201"
"","","","","","","","","","YMrQoFYRX","bontkraagje","Moroccan youth, more generally ethnic youth. Refers to popular brand winter jackets with fur collar, such as Moncler.","Diminutive of bontkraag, meaning fur collar.","False","","null","nld","null","null","null","True","True","False","False","False","False","False","0","0","0","2019-05-29 11:13:52","2019-05-29 11:13:52",""
"","","","","","","","","","DnHPp8naT","kansenparel","Immigrant, especially criminal. Literally 'pearl of opportunity', cynical reference to official redesignation of immigrant areas as 'opportunity neighbourhoods'.","","False","","68","nld","null","null","null","True","True","False","False","False","False","False","0","0","0","2019-05-29 10:58:21","2019-05-29 10:58:21",""
"","","","","","","","","","NvGkxnXW3","nikker","","","True","","73","nld","null","nigger","null","False","True","False","False","False","False","False","707","82","20","2018-11-01 20:36:20","2019-05-29 10:37:00",""
"","","","","","","","","","KrjCbecuK","loempiavouwer","A Vietnamese person. 'Lumpia-folder' - a lumpia is a type of spring roll, often sold by Vietnamese street vendors.","","False","","82","nld","null","null","null","True","True","False","False","False","False","False","2","0","0","2018-11-13 21:29:53","2019-05-29 10:30:09",""
"","","","","","","","","","ohqfGvjXa","doos","Woman, implies 'stupid woman'.","Box.","False","","null","nld","null","null","null","False","False","False","True","False","False","False","0","0","0","2018-11-13 21:06:04","2019-05-29 10:24:06",""
"","","","","","","","","","vHqXuhpBW","bosneger","""Bush negro"", originally referred to escaped slaves in Suriname (Dutch Guyana) who hid in the jungle.","","False","NL","88","nld","null","null","null","False","True","False","False","False","False","False","65","3","0","2018-11-13 21:19:55","2019-05-29 10:21:06",""
"","","","","","","","","","WfcGunhcg","tokkie","Ethnic Dutch, white, working class person, with low educational level. Connotations: aggressive, loud, racist, low IQ. Roughly equivalent to 'white trash'.","Exclusively pejorative, but it is also a Dutch surname.","False","","null","nld","null","null","null","False","True","False","False","False","False","True","178","21","3","2018-11-13 21:30:36","2019-05-29 10:15:20",""
"","","","","","","","","","sdawdcEyp","lijp","A Jewish person","Cool","False","","null","nld","null","null","null","False","True","False","False","False","False","False","0","0","0","2018-11-13 21:23:42","2019-03-17 14:54:40",""
"","","","","","","","","","gJFghXWaf","trut","From ""vagina"", a woman","","False","","25","nld","null","null","null","False","False","False","True","False","False","False","147","15","2","2018-11-13 21:15:36","2019-01-09 18:24:37",""
"","","","","","","","","","tgkqxHLBY","stoephoer","""Sidewalk whore""","","True","","null","nld","null","null","null","False","False","False","True","False","False","False","662","66","10","2018-11-13 21:19:00","2019-01-09 18:13:36",""
"","","","","","","","","","T3RQLckRg","spaghettivreter","An Italian","","True","","null","nld","null","null","null","True","True","False","False","False","False","False","63","1","0","2018-11-13 21:29:18","2019-01-09 18:11:02",""
"","","","","","","","","","zkaJVP3ah","slet","Slut","","False","NL","25","nld","null","null","null","False","False","False","True","False","False","False","113","11","3","2018-11-13 21:17:25","2019-01-09 18:09:14",""
"","","","","","","","","","pJBXQfJbN","slettenbak","","","False","NL","null","nld","null","slet","null","False","False","False","True","False","False","False","35","3","2","2018-11-13 21:18:24","2019-01-09 18:08:58",""
"","","","","","","","","","KAMryigje","roetmop","A black person","","False","","89","nld","null","null","null","False","True","False","False","False","False","False","140","10","2","2018-11-13 21:28:45","2019-01-09 17:57:29",""
"","","","","","","","","","JaUrpsvUL","reetkever","""Ass beetle""; a homosexual man","","True","","null","nld","null","null","null","False","False","False","False","True","False","False","244","63","4","2018-11-13 21:16:49","2019-01-09 17:56:21",""
"","","","","","","","","","LnQMdBEMz","rapalje","One of low social standing","","False","","null","nld","null","null","null","False","False","False","False","False","False","True","110","9","1","2018-11-13 21:27:48","2019-01-09 17:55:32",""
"","","","","","","","","","vzgkcYbN2","rapaille","","","False","","null","nld","null","rapalje","null","False","False","False","False","False","False","True","89","9","1","2018-11-13 21:28:16","2019-01-09 17:55:26",""
"","","","","","","","","","EeQqxbMuu","proleet","One of low social standing","","False","","null","nld","null","null","null","False","False","False","False","False","False","True","470","59","10","2018-11-13 21:27:17","2019-01-09 17:54:07",""
"","","","","","","","","","7n4LAcd8Z","poepchinees","[1] A Chinese person [2] A person of Asian ancestry","","False","","null","nld","null","null","null","True","True","False","False","False","False","False","69","4","0","2018-11-13 21:26:47","2019-01-09 17:53:17",""
"","","","","","","","","","WZLiMqDpR","plebejer","""Plebeian""; a person of low social standing","","False","","null","nld","null","null","null","False","False","False","False","False","False","True","29","1","0","2018-11-13 21:26:02","2019-01-09 17:50:50",""
"","","","","","","","","","zWpZEPwUZ","mongool","Mongoloid","","False","","null","nld","null","null","null","False","False","False","False","False","True","False","709","71","18","2018-11-13 21:02:12","2019-01-09 17:44:41",""
"","","","","","","","","","RojcdgiVs","manwijf","A woman who looks like a man","","False","","null","nld","null","null","null","False","False","False","True","False","False","False","152","19","1","2018-11-13 21:11:08","2019-01-09 16:21:13",""
"","","","","","","","","","Kn2vpfR9v","lesbo","Lesbian","","False","NL","65","nld","null","null","null","False","False","False","False","True","False","False","45","7","3","2014-04-22 09:23:30","2019-01-09 16:19:19",""
"","","","","","","","","","8oe6wW3RV","kreng","An unkind or crass woman","A cadaver","False","","null","nld","null","null","null","False","False","False","True","False","False","False","0","0","0","2018-11-13 21:09:32","2019-01-09 16:16:48",""
"","","","","","","","","","UGixRbcHZ","kringspiermusketier","""Sphincter musketeer""; a male homosexual","","True","","null","nld","null","null","null","False","False","False","False","True","False","False","36","2","0","2018-11-13 21:10:23","2019-01-09 16:16:09",""
"","","","","","","","","","VWNRKVRGG","koelie","""Coolie""; derogatory for people of Indonesian and Hindi(-Surinamese) origins.","","False","","93","nld","null","null","null","True","False","True","False","False","False","False","134","9","2","2018-11-13 21:22:57","2019-01-09 16:14:53",""
"","","","","","","","","","oHCtwYcJh","kakker","One of higher social status","One who wears clothing or participates in activities associated with upper class pretense, such as wearing a V-neck sweater or yachting","False","","75","nld","null","null","null","False","False","False","False","False","False","True","0","0","0","2018-11-13 21:21:04","2019-01-09 16:12:11",""
"","","","","","","","","","yJpgpcEUg","huppelkut","""Skipping cunt""; a stupid or shallow woman","","True","","null","nld","null","null","null","False","False","False","True","False","False","False","731","82","7","2018-11-13 21:07:48","2019-01-09 15:18:42",""
"","","","","","","","","","NjbFBqHtN","huppelkutje","","","True","","null","nld","null","huppelkut","null","False","False","False","True","False","False","False","758","49","6","2018-11-13 21:08:20","2019-01-09 15:18:35",""
"","","","","","","","","","LYqFFoKKZ","anusridder","""Anus knight""; a man who has anal sex with another man","","True","","null","nld","null","null","null","False","False","False","False","True","False","False","8","0","0","2018-11-13 21:03:53","2019-01-07 18:53:36",""
"","","","","","","","","","yRCHUpFec","debiel","Moronic, as if mentally disabled","","False","NL","null","nld","null","null","null","False","False","False","False","False","True","False","799","91","17","2018-11-13 21:01:19","2019-01-07 18:06:25",""
"","","","","","","","","","AWXZBpUeK","anaalridder","","","True","","50","nld","null","anusridder","null","False","False","False","False","True","False","False","58","1","0","2018-11-13 21:04:31","2019-01-07 15:57:31",""
"","","","","","","","","","CHmK7K48f","zandneger","","","False","","92","nld","null","sand nigger","null","True","True","False","False","False","False","False","58","3","1","2013-06-26 13:00:19","2018-11-13 21:31:32",""
"","","","","","","","","","6pGQDCAUh","pinda","""Peanut""; an Indonesian person","","False","","null","nld","null","null","null","True","False","False","False","False","False","False","0","0","0","2018-11-13 21:25:09","2018-11-13 21:25:09",""
"","","","","","","","","","RCrtQoaNZ","sletje","","","False","","null","nld","null","slet","null","False","False","False","True","False","False","False","0","0","0","2018-11-13 21:17:58","2018-11-13 21:17:58",""
"","","","","","","","","","JLTrwWtUD","tut","","","False","","null","nld","null","trut","null","False","False","False","True","False","False","False","0","0","0","2018-11-13 21:16:04","2018-11-13 21:16:04",""
"","","","","","","","","","FU4Aq4aAT","nicht","A homosexual male","A homosexual, as used within the homosexual community","False","","null","nld","null","null","null","False","False","False","False","True","False","False","0","0","0","2018-11-13 21:13:34","2018-11-13 21:13:34",""
"","","","","","","","","","MpTcvrsqe","muts","A stupid or shallow woman","","False","","null","nld","null","null","null","False","False","False","True","False","False","False","0","0","0","2018-11-13 21:12:11","2018-11-13 21:12:11",""
"","","","","","","","","","Fw6nRTkiU","teef","Bitch","","False","","68","nld","null","null","null","False","False","False","True","False","False","False","0","0","0","2018-11-13 21:05:16","2018-11-13 21:05:16",""
"","","","","","","","","","PmCkmsraZ","autist","One who behaves strangely, as if autistic","","False","","null","nld","null","null","null","False","False","False","False","False","True","False","0","0","0","2018-11-13 21:00:38","2018-11-13 21:00:38",""
"","","","","","","","","","RgPXmAMFA","spleetoog","A person of Chinese or East Asian descent","","False","","80","nld","null","null","null","False","True","False","False","False","False","False","94","15","0","2018-11-01 19:42:42","2018-11-01 19:42:42",""
"","","","","","","","","","3XQAsxYuT","smous","Ethnic slur for Jew","","False","","92","nld","null","null","null","False","True","True","False","False","False","False","45","4","0","2018-11-01 19:42:41","2018-11-01 19:42:41",""
"","","","","","","","","","RHDK6pdDr","niknok","Dutch pejorative for a black person.","","False","","96","nld","null","null","null","False","True","False","False","False","False","False","47","1","0","2013-10-17 21:25:20","2013-10-17 21:25:20",""
"","","","","","","","","","nNjFFT7WV","moffen","In Dutch the most common term for the German people, after the regular/official one, is 'mof'. It is regarded as a derogative term, used exclusively for Germans and reflected Dutch resentment of the German occupation of the Netherlands during the Second World War and the respective German actions. The word 'Mofrika' (Germany) is a portmanteau of Africa and 'mof'. In the late 16th century the area now known as East Frisia and Emsland and the people that lived there were referred to as 'Muffe'. At the time that the Netherlands were by far the richest country in the whole of Europe, and these people were looked down upon greatly by the Dutch. The area of Western Lower Saxony was at that time very poor and a good source for many Dutch people looking for cheap labour. The inhabitants of this region were known to be rather reserved and were often described as 'grumpy', 'rude' and 'unsophisticated' by the Dutch. Later the term was used to describe the whole of Germany, which, at the time, wasn't much better off economically than Western Lower Saxony, mainly due to the various wars waged on its territory by foreign powers. The term seemed to have died out around 1900 but returned following the German invasion of the Netherlands in 1940. A popular humorous (but false) etymology of the word 'mof' by the Dutch is that it is actually a German abbreviation meaning 'Menschen ohne Freunde' ('people without friends').","","False","NL","null","nld","null","mof","null","True","False","False","False","False","False","False","2115","114","26","2013-07-02 22:57:31","2013-07-02 22:57:31",""
"","","","","","","","","","9J7E3jqmg","medelander","Immigrant, especially Moroccan. Cynical usage, literally 'co-inhabitant', originally official euphemism for foreigner.","","False","","null","nld","null","null","null","True","True","False","False","False","False","False","279","10","1","2013-06-26 13:32:04","2013-06-26 13:32:04",""
"","","","","","","","","","t4u4dXxTJ","kamelenneuker","Arab, Muslim, especially Moroccan. Literally 'camel-fucker'.","","False","","95","nld","null","null","null","False","True","True","False","False","False","False","7","1","0","2013-06-26 13:23:27","2013-06-26 13:23:27",""
"","","","","","","","","","dKjG3tRWa","geitenneuker","Muslim, literally 'goat-fucker'.","","False","","93","nld","null","null","null","False","False","True","False","False","False","False","436","16","3","2013-06-26 13:21:27","2013-06-26 13:21:27",""
"","","","","","","","","","T3y3NC83R","kansarme","Immigrants, literally 'chance-poor', the noun is used in the plural. Originally an official euphemism for poor / deprived.","","False","","null","nld","null","null","null","False","True","False","False","False","False","False","583","46","2","2013-06-26 13:17:02","2013-06-26 13:17:02",""
"","","","","","","","","","vHABuG93H","allochtoon","Non-Dutch, in Flanders non-Flemish. Originally a neutral official term, but acquired negative connotations, and is widely used in a derogatory sense.","","False","","null","nld","null","null","null","False","True","False","False","False","False","False","815","48","11","2013-06-26 13:10:14","2013-06-26 13:10:14",""
"","","","","","","","","","F2YdEWX7P","kopvoddrager","Moslima with headscarf, literally 'head-rag-wearer'.","","False","","null","nld","null","null","null","False","False","True","True","False","False","False","0","0","0","2013-06-26 12:53:10","2013-06-26 12:53:10",""
"","","","","","","","","","b6KxMZfrB","Fin","Moroccan. Cynical usage, implying that the real name may not be used, e.g, in crime reports.","","False","","null","nld","null","null","null","False","True","False","False","False","False","False","1","0","0","2013-06-26 12:34:24","2013-06-26 12:34:24",""
"","","","","","","","","","7qVUMgaBW","berberaap","Moroccan, literally Berber ape, refers to Berber ethnicity / language of most Moroccan immigrants in Netherlands and Belgium","","False","","75","nld","null","null","null","False","True","False","False","False","False","False","21","0","0","2013-06-26 12:32:18","2013-06-26 12:32:18",""
"","","","","","","","","","gdCA9tWQj","rifaapje","Moroccan, literally Rif-ape, refers to the the Rif in northern Morocco.","","False","","93","nld","null","rifaap","null","False","True","False","False","False","False","False","1","0","0","2013-06-26 12:28:44","2013-06-26 12:28:44",""
"","","","","","","","","","zYyzfzF9Q","rifaap","Moroccan, literally Rif-ape, refers to the the Rif in northern Morocco.","","False","","93","nld","null","null","null","False","True","False","False","False","False","False","74","20","0","2013-06-26 12:27:43","2013-06-26 12:27:43",""
"","","","","","","","","","9XUdM6m46","kutmarokkaan","Moroccan, literally ""cunt--Moroccan"".","","False","","91","nld","null","kut-marokkaan","null","False","True","False","False","False","False","False","167","10","1","2013-06-26 12:22:39","2013-06-26 12:22:39",""
"","","","","","","","","","2rpeM7pJn","kut-marokkaan","Moroccan, literally ""cunt--Moroccan"".","","False","","96","nld","null","null","null","False","True","False","False","False","False","False","4","0","0","2013-06-26 12:20:54","2013-06-26 12:20:54",""
"","","","","","","","","","WQB2cJF2H","mocro","Moroccan","","False","","85","nld","null","null","null","False","True","False","False","False","False","False","286","24","5","2013-06-26 12:13:49","2013-06-26 12:13:49",""
"","","","","","","","","","faAujaX6n","cultuurverrijker","Immigrant ethnic minority or its members, especially Moroccans. Cynical term, literally ""culture-enricher"".","","False","","72","nld","null","null","null","False","True","False","False","False","False","False","164","16","0","2013-06-26 12:11:27","2013-06-26 12:11:27",""
"","","","","","","","","","hjbMvWj44","haatmeneer","Muslim, typically Moroccan. Originally referred to one person, later generalised.","","False","","null","nld","null","null","null","False","True","True","False","False","False","False","6","0","0","2013-06-26 12:04:28","2013-06-26 12:04:28",""
"","","","","","","","","","YBc6TntnB","moelander","Immigrant, primarily labour migrant, from central and eastern Europe.","","False","","null","nld","null","null","null","False","False","False","False","False","False","False","1","0","0","2013-06-26 11:58:00","2013-06-26 11:58:00",""
"","","","","","","","","","jhMgTc6bE","kaaskop","A Dutch person. Translates as 'cheese-head'.","","False","","null","nld","null","null","null","True","False","False","False","False","False","False","203","16","3","2013-06-08 22:08:29","2013-06-08 22:08:29",""
